Datum;Km-Stand;Teil-Km;Spritmenge;Kosten;WÃ¤hrung;Tankart;Reifen;Strecken;Fahrweise;Kraftstoff;Bemerkung;Verbrauch
11.11.2009;71060,00;388,00;52,19;72,49;"EUR";1;1;14;2;8;"";13,45
31.10.2009;70672,00;215,00;50,86;72,16;"EUR";1;1;14;2;8;"";12,78
25.10.2009;70457,00;372,00;24,15;33,30;"EUR";2;1;14;2;8;"";12,78
12.10.2009;70085,00;372,00;48,21;62,62;"EUR";1;1;14;2;8;"";12,96
21.09.2009;69713,00;425,00;50,42;68,02;"EUR";1;1;14;2;8;"";12,14
15.09.2009;69288,00;278,00;34,92;47,46;"EUR";2;1;14;2;8;"";12,14
06.09.2009;69010,00;403,00;48,08;65,82;"EUR";1;1;14;2;8;"";11,93
22.08.2009;68607,00;369,00;46,89;66,54;"EUR";1;1;14;2;8;"";12,71
15.08.2009;68238,00;344,00;43,47;62,55;"EUR";1;1;14;2;8;"";12,64
08.08.2009;67894,00;388,00;49,98;69,42;"EUR";1;1;14;2;8;"";12,88
25.07.2009;67506,00;313,00;41,61;56,96;"EUR";1;1;14;2;8;"";13,29
18.07.2009;67193,00;283,00;37,99;50,87;"EUR";1;1;14;2;8;"";13,42
12.07.2009;66910,00;305,00;41,96;56,60;"EUR";1;1;14;2;8;"";12,78
27.06.2009;66605,00;256,00;29,72;40,69;"EUR";2;1;14;2;8;"";12,78
24.06.2009;66349,00;324,00;42,80;59,88;"EUR";1;1;14;2;8;"";13,21
19.06.2009;66025,00;406,00;47,34;68,12;"EUR";1;1;14;2;8;"";11,66
15.06.2009;65619,00;237,00;52,06;73,35;"EUR";1;1;14;2;8;"";12,32
13.06.2009;65382,00;431,00;30,24;42,91;"EUR";2;1;14;2;8;"";12,32
04.06.2009;64951,00;402,00;52,65;73,13;"EUR";1;1;14;2;8;"";13,10
28.05.2009;64549,00;398,00;53,86;73,73;"EUR";1;1;14;2;8;"";13,53
22.05.2009;64151,00;353,00;47,02;64,37;"EUR";1;1;14;2;8;"";13,32
18.05.2009;63798,00;386,00;49,80;65,69;"EUR";1;1;14;2;8;"";12,90
11.05.2009;63412,00;353,00;42,76;55,97;"EUR";1;1;14;2;8;"";12,11
04.05.2009;63059,00;350,00;44,05;55,90;"EUR";1;1;14;2;8;"";12,59
27.04.2009;62709,00;373,00;47,59;60,87;"EUR";1;1;14;2;8;"";13,60
20.04.2009;62336,00;184,00;25,06;31,80;"EUR";2;1;14;1;8;"";13,60
19.04.2009;62152,00;130,00;20,75;26,75;"EUR";2;1;14;1;8;"";13,60
17.04.2009;62022,00;387,00;49,33;64,57;"EUR";1;1;14;2;8;"";13,00
12.04.2009;61635,00;231,00;31,02;39,67;"EUR";2;1;14;2;8;"";13,00
11.04.2009;61404,00;372,00;45,03;58,04;"EUR";1;2;14;2;8;"";12,10
06.04.2009;61032,00;422,00;52,82;65,97;"EUR";1;2;14;2;8;"";12,54
01.04.2009;60610,00;230,00;28,96;36,17;"EUR";2;2;14;2;8;"";12,54
30.03.2009;60380,00;418,00;47,51;61,72;"EUR";1;2;14;2;8;"";11,37
19.03.2009;59962,00;343,00;40,50;50,18;"EUR";1;2;14;2;8;"";11,81
13.03.2009;59619,00;451,00;53,59;66,93;"EUR";1;2;14;2;8;"";11,88
07.03.2009;59168,00;372,00;42,59;51,09;"EUR";1;2;14;2;7;"";11,45
02.03.2009;58796,00;273,00;52,50;62,42;"EUR";1;2;14;2;7;"";11,08
27.02.2009;58523,00;425,00;24,82;30,01;"EUR";2;2;14;2;7;"";11,08
22.02.2009;58098,00;413,00;49,80;58,71;"EUR";1;2;14;2;7;"";12,06
16.02.2009;57685,00;374,00;42,70;51,20;"EUR";1;2;14;2;7;"";11,42
09.02.2009;57311,00;446,00;49,89;57,82;"EUR";1;2;14;2;7;"";12,32
05.02.2009;56865,00;243,00;35,01;42,33;"EUR";2;2;14;2;8;"";12,32
02.02.2009;56622,00;217,00;45,48;54,53;"EUR";1;2;14;2;8;"";10,76
31.01.2009;56405,00;440,00;25,23;29,75;"EUR";2;2;14;2;7;"";10,76
26.01.2009;55965,00;398,00;45,57;55,09;"EUR";1;2;14;2;8;"";11,45
19.01.2009;55567,00;394,00;44,37;54,09;"EUR";1;2;14;2;8;"";11,26
12.01.2009;55173,00;336,00;37,09;45,21;"EUR";1;2;14;2;8;"";11,04
05.01.2009;54837,00;300,00;35,91;40,90;"EUR";1;2;14;2;8;"";11,97